system   I             system.c:245  al_install_system                [   0.00096] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.08500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08502] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08506] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08507] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08510] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08514] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08515] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08518] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08519] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08521] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08523] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08525] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08527] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08529] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08531] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08533] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08534] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08536] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08538] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08541] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08543] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08546] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08547] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08550] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08557] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08560] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08561] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08564] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08565] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08567] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08571] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08575] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08577] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08579] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08581] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08583] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08585] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08587] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08588] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08591] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08593] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08595] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08597] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08599] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08600] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08602] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08604] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08606] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08608] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08610] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08612] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08614] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08619] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08621] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08623] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08625] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08627] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08629] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08631] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08633] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08634] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08637] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08638] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08641] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08643] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08645] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08650] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08656] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08658] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08660] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08661] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08663] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08665] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08667] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08668] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08670] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08672] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08674] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08678] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08679] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08682] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08683] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08689] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08691] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08694] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08695] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08697] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08699] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08701] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08702] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08705] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08706] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08709] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08710] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08713] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08714] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08716] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08718] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08720] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08722] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08724] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08725] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08728] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08729] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08731] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08733] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08735] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08737] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08739] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08741] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08744] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08746] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08748] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08750] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08756] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08758] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08760] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08762] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08764] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08765] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08767] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08768] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08770] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08771] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08773] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08774] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08776] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08777] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08779] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08780] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08782] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08783] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08785] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08786] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08788] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08789] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08791] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08792] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08794] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08795] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08797] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08798] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08800] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08801] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08803] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08805] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08808] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08809] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08812] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08813] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08816] Score is : 589
